post,label,source,dialect
الحمدلله جهد تشكر عليه وزاره الصحه من الي نشوفه فلمستشفيات من توعيه وسيطره عالوضع حن في ايدي امينه حمدلله على نعمة قطر ,normal,Data_World,slang
    ااحمدلله على كل حال  😊😊😊😊 ,normal,Data_World,slang
الله يقويكم❤,normal,Data_World,slang
الحمدالله  ❤,normal,Data_World,slang
-تعلن وزارة الصحة العامة عن تسجيل ثلاث حالات إصابة جديدة بمرض #فيروس_كورونا 2019 (#كوفيد١٩) في #قطر من المتواجدين في الحجر الصحي، حالتين لمواطنين قطريين وحالة من أسرتهم من جنسية أخرى ممن عادوا مؤخرا من ايران، ليصل عدد الحالات المؤكدة في البلاد إلى ١١ حالة,normal,Data_World,slang
بإذن الله يتشافون ويقومون بالسلامه ماهنا الا العافيه دامهم بالعزل يعني الحمدلله ماراح ينتشر والكورنا اخذ اكبر من حجمه,normal,Data_World,slang
"قطر .. تعتبر من أكثر الدول جاهزيه للسيطره على هاذا الفيروس، بالفعل مانشعره نحن المواطنون الغير قطريين في قطر من ارتياح وأمان عام.
",normal,Data_World,slang
"تشكر الوزارة على حرصها بتمليك المعلومة الصحيحة كما نسأل الله أن يشفي كل المرضى وأن يجنب بلادنا من كل شر وسوء اللهم آمين
",normal,Data_World,slang
"شكرا لكم على جهدكم الدؤوب وشفافيتكم
",normal,Data_World,slang
"نشكركم على الابديت والشفافية 🙏🏼
الله يشفيهم ويقومهم بالسلامة
",normal,Data_World,slang
"فتحي الرابط وأقري المعلومات كاملة الحمدلله قطر مافيها ولا حالة غير اللي في الحجر الصحي الله يشفيهم ويعافيهم وأي حد يدخل البلاد يخضع للحجر الصحي لين يتم التأكد انه خالي من المرض

 ❤😘شكراً على اهتمامج بقطر والله يفك عنكم البلاء ",normal,Data_World,slang
"للحين الامور طيبة والمرض قيد الاحتواء ولم ينتشر
",normal,Data_World,slang
"مافي شي ف المدارس ماخذين كل الحيطه والحذر قولي الحمدالله الدول الي اجزو المرض تفشا بينهم حنا احتجزوهم ف الحجر من المطار الي رجعو تالي طلعت عليهم علامات المرض ودخلوهم مركز الامراض الانتقاليه
",normal,Data_World,slang
د. عبداللطيف الخال: في دولة #قطر عدد الحالات المصابة بمرض #فيروس_كورونا ما زال منخفضا، فقد تم تشخيص 12 حالة حتى الآن، وجميع هذه الحالات من الناس الذين قدموا من الجمهوريّة الإسلاميّة الإيرانية في الآونة الأخيرة، ويخضعون للعلاج في مركز الأمراض الانتقالية ووضعهم الصحي مستقر جداً,normal,Data_World,slang
من مميزات الشعوب المتحضره أنها تتبع الإرشادات والتعليمات في مثل هذه الظروف. لذلك ترى الناس يتعاملون ببساطه مع الوضع القائم وكلٌ يعرف ويُطَبق ما يلزم، ويحسبهم الجاهل غير مكترثين الأمر. شكراً وزارة الصحه على حرفيتكم,normal,Data_World,slang
جددت وزارة الصحة العامة في مؤتمر صحفي تأكيدها باتخاذ كافة الإجراءات الوقائية اللازمة في جميع منافذ الدولة لمواجهة مرض #فيروس_كورونا ٢٠١٩، حيث يتم فحص نحو 800 مسافر بشكل يومي، وأن السلطات في #قطر أجرت أكثر من 3000 فحص حتى الان كشف عن 12 حالة مؤكدة بالدولة.,normal,Data_World,slang
جهود جبارة تقوم بها جميع أجهزة الدولة لمكافحة #كورونا وعلى رأسها وزارة الصحة وبدون تعاون أفراد المجتمع وتحملهم للمسؤولية لن يكون لهذه الجهود أي قيمة… لنكن يداً واحدة لنجتاز الجائحة,normal,Data_World,slang
"الوزارة تؤكد أن مؤشرات تفشي مرض #فيروس_كورونا ٢٠١٩ (#كوفيد١٩) في #قطر لا تزال منخفضة​​، اقرأ المزيد في الرابط التالي
",normal,Data_World,slang
"الحمد لله ونشكركم على جهودكم الجبارة،،
",normal,Data_World,slang
"الحمدالله  اللهم لك الحمد وشكر علي نعمه الأمان والأمن في بلادي الحبيبه قطر واحفظ سمو الأمير الشيخ تميم بن حمد آل ثاني حفظه الله واهل قطر من كل سوء وشر
",normal,Data_World,slang
"أعلنت وزارة الصحة العامة عن تسجيل ثلاث حالات إصابة جديدة بفيروس كورونا 2019 (كوفيد-19) في دولة قطر لوافدين، ليصل بذلك عدد حالات الإصابة المؤكدة بالفيروس في البلاد إلى خمس عشرة حالة حتى الآن
",normal,Data_World,slang
"سلم يارب سلم
والله السلطات في قطر مش مقصرين ويتبعوا اسس علميه محترمه وان شاءالله ربنا معاهم ....",normal,Data_World,slang
"لن يصيبنا إلا ما كتب الله لنا، توكلوا على الله
",normal,Data_World,slang
"ماذا استفدنا من وباء #كورونا 1- أستخدام النقاب  ٢- غسل اليدين ٣- تحقيق نبوءة عن حديثه صل الله عليه وسلم حول التعامل مع الوباء.
",normal,Data_World,slang
"وزارة الصحة العامة تعلن تسجيل ست حالات اصابة جديدة بفيروس كورونا 2019 (#كوفيد19) لوافدين من المجموعات السابقة 
",normal,Data_World,slang
اللهم لك الحمد والشكر على كل حال، إكتشافهم وإحتوائهم وعلاجهم ثم شفائهم بإذن الله عمل يشكرون عليه المختصين ,normal,Data_World,slang
"أعلنت وزارة الصحة العامة اليوم عن تسجيل ٢٣٨ حالة اصابة جديدة مؤكدة بفيروس كورونا 2019 (كوفيد-19) في دولة قطر لوافدين من المخالطين للحالات الثلاث التي تم الإعلان عن اصابتهم بالفيروس يوم الأحد الماضي ممن يقيمون بمجمع سكني واحد
",normal,Data_World,slang
"الله يجزاكم خير ،،كل الشكر والتقدير لجهودكم الجباره في الفحص والحجر والعلاج والتوعية والإعلان ،،مشكورررررررين وبيض الله وجيهكم
",normal,Data_World,slang
"الحمداللة وضع بقطر خير وماحد توفى لسمح اللة وبتشافون قريبا،ودولة جزاها الله خير مابتقصر في العلاج والفحص والاسعافات ،وانا شفت احدى مجمعات مشكورين يمسحون بمعقم عربات الاغراض ويعطيهم العافية
",normal,Data_World,slang
تنوه الوزارة الباعة المتجولين بقرار إيقاف البيع والخدمات بصفة مؤقتة وذلك نظراً للاوضاع الصحية الراهنة في البلاد وحرصاً على سلامة الجميع. #قطر,normal,Data_World,slang
في إطار الإجراءات الوقائية للحد من انتشار فيروس كورونا كوفيد-19، يمنع تقديم الطلبات في جميع المطاعم والمقاهي في الدولة ويمنع تواجد وجلوس الزبائن وإقامة تجمعات داخل وخارج الصالات المشار إليها، ويستثنى من ذلك خدمة توصيل الطلبات الخارجيه وتسليم الطلبات داخل المحل، وذلك حتى إشعار آخر,normal,Data_World,slang
اطلعنا اليوم على عمل اللجنة المعنية بمنع انتشار فيروس كورونا. الأمور تسير بشكل جيد والجهات تقوم بواجبها على أكمل وجه. سوف تكون هناك تدابير إضافية للسيطرة على الوباء. خطتنا تهدف لحصار الفيروس بأقل إرباك. هي مسؤولية جماعية تتطلب التزام وتعاون الجميع دون استثناء ودون إبطاء.,normal,Data_World,slang
فعلا ونشهد الله أنّ مؤسساتكم تقوم بعمل جبار لإشعار كل مريض أنه وحده المريض في كل قطر .. فيقدمون لاي مريض كل الرعاية و الدعم النفسي حتى لو في نصف الليل .. ويتصلون بنا كل يوم للاطمئنان عن حالنا كما لو كانوا هم عائلتنا .. بارك الله بكم .. مؤسسات قطر تربية أمير عظيم مثل سموكم,normal,Data_World,slang
"وزارة الصحة العامة تعلن في مؤتمر صحفي عن شفاء أول 4 حالات في دولة #قطر من فيروس #كورونا
",normal,Data_World,slang
"الله يعطيكم العافيه يا وزارة الصحه انتو وجميع طاقم العمل بلا استثناء، نحن بدوكم ولاشيء.
شكراً لكم وبيض الله وجوهكم.",normal,Data_World,slang
كل الشكر لكم على جهودكم الطيبه الملاحظه والتي تقوم على خدمة المواطنين والمقيمين واجتهادكم الطيب لمكافحة هذا الوباء والتفاني في خدمة المرضى واخذ الاحتياطات الازمة في ذلك الشأن #كل_الشكر_لوزارة_الصحة,normal,Data_World,slang
"شكرا لكل الكادر الطبي والشبه الطبي شكرا لكل من إمتدت يده لإنقاذ حياة .. شكرا كبيرة لكم واتمنى من كل حكومات العالم ان تكرمهم
",normal,Data_World,slang
"نشكر جهودكم في كل عمل تقومون به، وعلى هذا الفيديو الراقي المعبر  عن فرحة الناس في خروجهم وفرحة المواطنين، كما نشكر الإخوان في العلاقات العامة، ولكن مشاهير التواصل الاجتماعي مالهم لازمة يحضرون وماندري هل هي بدعوه منكم ولا مجهود شخصي. لان مخرجات سناباتهم لاتليق للشعب ولا للمرضى
",normal,Data_World,slang
"كفيتوا ووفيتوا بيض الله وجهكم ..والله يسلم حكومتنا  قمة الإنسانية لكم الأجر إن شاء الله
",normal,Data_World,slang
"بارك الله في جهودكم 
",normal,Data_World,slang
"في وقت الازمة اثبتو انكم قدها الله يوفقكم ويحفظ قطرنا ومن عليها
",normal,Data_World,slang
"الحمدلله

وتشكرون على جهودكم ،، الله لا يضيع لكم جهد يارب",normal,Data_World,slang
اللهم لك الحمد حتى يبلغ الحمد منتهاه ,normal,Data_World,slang
"خبر مطمئن
",normal,Data_World,slang
الحمدلله بداية خير مع هطول الأمطار  ,normal,Data_World,slang
"ماشاء الله تبارك الرحمن

اللهم شفاء لا يغادر سقما

الله يحفظ قطر و أهلها 🙏🏻",normal,Data_World,slang
الحمدلله ,normal,Data_World,slang
"اللهم لك الحمد 
ما قصرتم ربنا يعطيكم العافية",normal,Data_World,slang
"اللهم لك الحمد حتى ترضى ولك الحمد اذا رضيت ولك الحمد بعد الرضا نسأل الله أن يشفي جميع المسلمين
",normal,Data_World,slang
"نشكرا وزاره الصحة وعلى راسهم الدكتور الشيخ محمد ال ثاني و الدكتور عبداللطيف الخال على الشفافيه في المعلومات و الله يشفي جميع المرضى في قطر وجميييع بلاد العالم
",normal,Data_World,slang
"الحمد لله رب العالمين، بشائر الخير لاحت و لله الحمد أولا و آخرا.
الله ينجي أمة نبينا محمد صلى الله عليه و سلم.
اللهم نسألك العفو والعافية.
",normal,Data_World,slang
"فرحتونا .. الحمدلله من فضلك
",normal,Data_World,slang
الحمدالله,normal,Data_World,slang
اللهم لك الحمد والشكر ,normal,Data_World,slang
اللهم لك الحمد حتى ترضى ولك الحمد عند الرضا ولك الحمد حتى تمام الرضى الله يعطيكم العافيه وعساكم على القوة ,normal,Data_World,slang
"اخبار جيدة ،الله يوفقكم
",normal,Data_World,slang
ربي لك الحمد وشكرا على جهودكم وزارة الصحة نفتخر فيكم,normal,Data_World,slang
الحمدالله  🌹,normal,Data_World,slang
الحمدالله,normal,Data_World,slang
ماشاءالله الله يزيد في شفائهم ويكون في عونكم ويعافيكم على جهودكم,normal,Data_World,slang
الله اكبر الله اكبر والله بلاد الخير والامن والامان كفو ي بلادي دام عزك ي وطن ودام حكامك ومواطنيك وسكانك الله يحفظ جميع من في قطر من كل شر وبلاء ووباء الله يحفظكم,normal,Data_World,slang
الحمد لله وربي يسخر لكم الوقت والجهد وجزاكم الله خير وربي يحفظنا ويحفظكم,normal,Data_World,slang
الف مبروك لجميع الحالات و والشفاء العاجل للحالات الأخري و كل الفخر يا قطر,normal,Data_World,slang
نشكر وزارة الصحه على الشفافيه وعلى ما يبذلون من جهود,normal,Data_World,slang
الحمدلله ده خبر جميل جدا,normal,Data_World,slang
الحمدلله,normal,Data_World,slang
الحمدلله حمداً يليق بجلال وجهه وعظيم سلطانه،، الحمدلله الذي وفقكم لاحتواء هذا الهاجس، اسأل الله ان ينعم علينا بالصحه والعافيه وان يشفي جميع من اصيب به أو بأي مرض اخر,normal,Data_World,slang
الحمدالله,normal,Data_World,slang
الحمدالله,normal,Data_World,slang
الحمدالله,normal,Data_World,slang
الحمدلله على سلامتهم  شدة و تزول على البقية، اللهم ارفع البلاء برحمة من عندك يا رحمن.,normal,Data_World,slang
"ايوة كدة اخبار حلوة و انشاء الله الي جي احسن
",normal,Data_World,slang
الحمدالله,normal,Data_World,slang
"الحمدلله هذا من فضل ربي الله يتمم الشفاء لجميع مرضانا ومرضى المسلمين .
",normal,Data_World,slang
الوزارة تصدر تعميماً بشأن إغلاق المجمعات التجارية ومراكز التسوق وصالونات التجميل الرجالية والنسائية، إبتداءً من يوم الأربعاء 18 مارس 2020. #قطر,normal,Data_World,slang
اتمني من الجميع الالتزام والجلوس في المنزل علشان نساعد بلادنا والحكومه في القضاء علي الوباء,normal,Data_World,slang
👌,normal,Data_World,slang
شكرا لهذا القرار,normal,Data_World,slang
قرار سليم يعطيكم العافيه,normal,Data_World,slang
أكدت الوقائع كما أكد المؤتمر الصحفي للجنة العليا لإدارة الأزمات في الدولة أن #قطر تتعامل بالشفافية التامة أمام شعبها والعالم حول تطورات فيروس كورونا .. كما تؤكد الإجرات التي تتخذ عند الحاجة الجدّية في الحدّ من انتشار هذا الفيروس .. رعى الله بلادنا وحفظها,normal,Data_World,slang
"تطبيق توعوي هام للعمال بـ 4 لغات والآن جاري اضافة لغة 5 .

- تطبيق سهل
- معلومات مبسطة
- يرسل يوميا رسالة تذكير للعامل ليفحص  على اعراض #كورونا ، وإذا لديه الاعراض يساعده في الاتصال ب 16000 ويذكره كيف يحافظ على عدم التعرض للفيروس

#سلامتك_هي_سلامتي",normal,Data_World,slang
الوزارة تلزم منافذ البيع بمجموعة من الاشتراطات الاحترازية حفاظاً على سلامة المواطنين والمقيمين. #قطر #سلامتك_هي_سلامتي,normal,Data_World,slang
بيان مكتب الاتصال الحكومي حول اتخاذ دولة #قطر حزمة من القرارات استكمالاً للجهود والاجراءات الاحترازية للوقاية والحد من انتشار فيروس كورونا (كوفيد-19).,normal,Data_World,slang
حرصاً على حماية صحة وسلامة الجميع، تم اتخاذ عدداً من القرارات الاحترازية الجديدة وهي إغلاق صالات عرض السينما والمسارح ومناطق ألعاب الاطفال والصالات الرياضية الخاصة وصالات الافراح سواء في الفنادق او قاعات الافراح اعتباراً من يوم غد الجمعة حتى إشعارٍ آخر.,normal,Data_World,slang
كما تحث وزارة الصحة العامة الجميع إلى تجنب التواجد في الأماكن المزدحمة والتقليل من المناسبات الاجتماعية خلال هذه الفترة، وذلك حرصاً على سلامتهم وسلامة الاخرين، كما تحث كبار السن والأشخاص المصابين بحالات مرضية مزمنة تجنب الخروج الا للضرورة، لكونهم الأكثر عُرضة للإصابة بالعدوى.,normal,Data_World,slang
كفو,normal,Data_World,slang
قرار موفق جدا ونسأل الله ان يحفظ قطر ومن عليها من كل سوء ومكروه,normal,Data_World,slang
قواكم الله وماقصرتو,normal,Data_World,slang
قرارات في محلها شكرا لجهودكم,normal,Data_World,slang
هذا القرار السليم,normal,Data_World,slang
قرار ممتاز ... صالات السينما بالذات,normal,Data_World,slang
هذا الشغل الصح,normal,Data_World,slang
قرارات صائبة,normal,Data_World,slang
"قرار في محله 👏🏻
باقي تعقمون لنا الأماكن المفتوحة والشوارع  الله يبارك فيكم",normal,Data_World,slang
قرار صائب وكلنا معاكم الله يجزاكم خير. باقي المسؤولية على الأهالي والأسر والعائلات تكفوووون ساعدوا الحكومة ونفذوا القرارات واتبعوا التعليمات هم ماقصروا رايتهم بيضا باقي المسؤولية عليكم خصوصا الشباب والآباء والأمهات انتقلت المسؤولية من عاتق الحكومة إلى عاتق المجتمع.,normal,Data_World,slang
👍ونعم القرار,normal,Data_World,slang
ابرك خبر وعساكم على القوه,normal,Data_World,slang
قرار يدل على حرص الحكومة بسلامة المواطنين والمقيمين نسأل الله أن يجنب بلادنا الحبيبة الوباء والبلاء وأن يشفي كل مريض وفقكم الله ونفع بكم,normal,Data_World,slang
يعطيكم العافيه ونشكركم على اهتمامكم وحسن ادارتكم للأزمات حفظ الله قطر ومن عليها من كل مكروه.,normal,Data_World,slang
اجمل قرار استمروا❤,normal,Data_World,slang
الحمدلله قطر من بداية ازمة كورونا تعاملت معة بحزم وكانت صادقة من الجمهور في المعلومات ثقتنا في حكومتنا واجراءتها كبيرة,normal,Data_World,slang
#قطري_وافتخر_بجهود_حكومتي فخورة جداً لكل الجهود المبذولة ومقدرين تعرضكم لخطر #فيروس_كرونا شكراً لكم والله يقويكم ويحميكم بعينه التي لا تنام يارب,normal,Data_World,slang
هذا واجبنا تجاه بلادنا وشعبنا .. وتأكد ان كلنا فخورين بهذا العمل، فخورين للغاية,normal,Data_World,slang
"افضل قرار بصراحة الحمدلله ارتحت نفسيا احين ولا شخص له عذر لما يطلع ويهيت المفروض كل شخص يكون على قد المسؤلية تجاه غيره ومثل ماقالت الاخت الفاضلة لولوة الخاطر ""سلامتك هي سلامتي وسلامتي هي سلامتك""",normal,Data_World,slang
يعطيهم الصحة والعافية ولا ننسى مجهود اخوانا العساكر اللي هم يأمنون المناطق والحجر الصحي القطاع الصحي والعسكري اكثر عرضة للخطر في هذا الوقت ونرفع لهم العقال ربي يحفظهم لخدمة بلادنا قطر واحنا انشاءالله بنثبر في بيوتنا علشان ما نعطل مجهوداتهم,normal,Data_World,slang
"استكمالاً للجهود التي تبذلها دولة #قطر للتصدي لفيروس كرونا (كوفيد- 19)، اصدر معالي الشيخ خالد بن خليفة آل ثاني رئيس مجلس الوزراء ووزير الداخلية قراراً بفرض إجراءات احترازية لمنع كافة أشكال التجمع بسلطة القانون. #سلامتك_هي_سلامتي
",normal,Data_World,slang
"كفوووووو بردتو قلبي والله هذي القرارات السنعه شكراااا وزير الداخليه
",normal,Data_World,slang
بارك الله في جهودكم.,normal,Data_World,slang
هاذا عين العقل .. يارب القادم أفضل,normal,Data_World,slang
قرار سليم أثلجو صدري بهالقرار الحمد لله,normal,Data_World,slang
الوزارة تصدر تعميماً بشأن إغلاق مؤقت لجميع المطاعم والمقاهي ومنافذ بيع المواد الغذائية والعربات المتنقلة في الأندية الرياضية وكورنيش الدوحة والخور ولوسيل وحديقة اسباير، إبتداءً من يوم الأحد 22 مارس 2020.,normal,Data_World,slang
كفووو عليهم,normal,Data_World,slang
"احسنتوا 

يا رب تعين الجميع وترفع عنا هالوباء على خير 🙏🏼",normal,Data_World,slang
جزاكم الله خير,normal,Data_World,slang
شكرا لكم🌹,normal,Data_World,slang
"مبادره مجتمعيه من  
 في تخصيص 10 سيارات لتوعيه بمخاطر فايروس #كورونا في المناطق التي تتواجد بها عمال من الجنسيات الاسيويه .. 👏👏👏👏
#سلامتك_هي_سلامتي #لأجل_قطر_كلنا_فالبيت",normal,Data_World,slang
لمن يقارن اجراءات دول العالم بالجهود المبذولة في قطر ، للامانة ماتقوم به الجهات جميعها في الفترة الاخيرة في قطر ، جهود ممتازة وتتفوق على الدول الاخرى ، حجم العمل كبير من الصحة والداخلية والبلدية والتجارة واشغال وكل مؤسسات الدولة ولله الحمد والشكر .,normal,Data_World,slang
صحيح كل الجهات تعمل بجهد متواصل في مكافحه الوباء ونحن نرا فقط عن طريق الاعلام اما بالخفاء هناك عمل قوي وجهد جبار ومتواصل لكل الجهات ونسال الله يعينهم على مكافحه هذا الوباء وفرج قريب باذن الله,normal,Data_World,slang
الدوحة في ٢٠٢٠ كأنها في ١٩٩٠ .. الناس ملتمة حول بعضها .. الطلعات بسيطة .. الغدا والعشا في البيت .. الشوارع فاضية .. العوايل صارت أقرب وأكثر تماسك.,normal,Data_World,slang
حظر التجمعات أفضل بكثير من حظر التجول،، وكثير من المواطنين التزموا واستوعبوا الموضع . هذه النقطه ايجابيه و تحسب لإدارة الأزمات,normal,Data_World,slang
احد الامور التي اتضحت بعد تطبيق حظر التجول في عدد من الدول المجاورة لمدة محددة من 6 مساء الى 6 صباحا ، انه يؤدي الى تجمع وازدحام بغير هذا الوقت وخصوصا قبل هذا الوقت بساعة ، يقضي الناس احتياجاتهم ، يجب وضع هذا في الاعتبار اذا كان هناك توجه مستقبلي لفرض حظر التجول لدينا .,normal,Data_World,slang
استغرب من الي يقول حظر التجول هو الحل .. حظر التجول هو دعوة للتكدس والازدحام والمخالطة في الاوقات المسموح فيها بالتجول .. وهذا شي طبيعي لين قلت للناس لك عدد ساعات معينة في اليوم تخلص امورك وبعدها ما تطلع من البيت.,normal,Data_World,slang
حظر التجوال هو اخر خيار للحكومة في اجراءاتها ، وتضطر الحكومة لتطبيقه في حال عدم التزام البعض بالتعليمات والارشادات ، لذلك حتى نتجنب تعقيد الامور اكثر وتعقيد حركتنا بالخروج ، علينا الالتزام والجلوس في البيت والخروج فقط للضرورة القصوى .,normal,Data_World,slang
ياريت يسوون حظر تجول نقعد في بيوتنا اسبوعين ونسيطر عالمرض وترجع الحياه لطبيعتها تفتح المدارس والجامعات يفتحون الاماكن المغلقه وووزارات الدوله احسن مانتم قاعدين فبيوتنا حتى اشعار اخر وكل شي متعطل .,normal,Data_World,slang
اكيد .. الصين بكبرها و كل التطور الي فيها ما قدروا يسيطروا على الڤيروس الا لمن عملوا حظر تجول,normal,Data_World,slang
اي والله هو الحل لان في ناس ما ينفع معها غير الصرامة والشدة بالفعل نحتاج حظر التجوال لمصلحة الجميع,normal,Data_World,slang
ألزمت الوزارة منافذ البيع في الدولة بتطبيق شرط المسافة الأمنة بين الزبائن والعملاء من خلال وضع العلامات الإرشادية على الأرض ويشمل ذلك طوابير الانتظار الخاصة بصندوق الدفع والاستقبال، وذلك في إطار الإجراءات الاحترازية والوقائية التي أعلنت عنها الوزارة. #قطر #سلامتك_هي_سلامتي,normal,Data_World,slang
ممتاز,normal,Data_World,slang
خطوة ممتازة يعطيكم العافية,normal,Data_World,slang
👍,normal,Data_World,slang
"👍
👏🌹",normal,Data_World,slang
آخر مستجدات مرض فيروس كورونا في قطر ,normal,Data_World,slang
الله يعطيكم الصحة ياوزارة الصحة انا. زوجتي في فندق جراند حياة مب مقصرين معاها الممرضين كل يوم يبعثون لها ممرضه تشوف لها الضغط وتعطيها انسولين ومهتمين احسن الاهتمام وماننسى دور الشرطه الله يعطيهم العافيه,normal,Data_World,slang
"الله يشفي الجميع ونرجو من الله أن يبعد عنا هدا الوباء 
شكرا كل من سهر الليالي وقام بالواجب الوطني 
بارك الله فيكم وجزاكم كل خير",normal,Data_World,slang
